item_code, vendor_code,launch_month, unit_price, department_name, category_name, subcategory_name,sales_velocity, sales_month, sales_unit, promotion_type
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2008.M03,54.4,Catalogue Promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2008.M04,42,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2008.M05,45,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2008.M06,59.2,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2008.M07,49,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2008.M08,43,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2008.M09,53.6,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2008.M10,65,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2008.M11,53,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2008.M12,45.6,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2009.M01,43,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2009.M02,45,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2009.M03,40.8,Catalogue Promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2009.M04,39,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2009.M05,61,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2009.M06,79.2,Catalogue Promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2009.M07,62,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2009.M08,50,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2009.M09,48.8,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2009.M10,44,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2009.M11,57,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2009.M12,44.8,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2010.M01,39,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2010.M02,33,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2010.M03,39.2,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2010.M04,36,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2010.M05,47,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2010.M06,86.4,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2010.M07,44,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2010.M08,50,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2010.M09,43.2,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2010.M10,45,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2010.M11,34,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2010.M12,34.4,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2011.M01,25,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2011.M02,35,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2011.M03,36.8,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2011.M04,64,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2011.M05,42,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2011.M06,30.4,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2011.M07,35,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2011.M08,43,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2011.M09,33.6,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2011.M10,43,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2011.M11,54,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2011.M12,36,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2012.M01,49.6,In-Store Promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2012.M02,36,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2012.M03,32.8,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2012.M04,21,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2012.M05,37,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2012.M06,30.4,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2012.M07,21,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2012.M08,35,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2012.M09,28.8,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2012.M10,23,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2012.M11,31,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2012.M12,28.8,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2013.M01,24,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2013.M02,30,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2013.M03,29.6,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2013.M04,33,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2013.M05,37,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2013.M06,31.2,no_promotion
I-111177,V10,2007.M01,54,Face,Face Cleanser,Other,D,2008.M01,19,no_promotion
